"name";"id_in_source"
"Achillea atrata L.";"1000"
"Achillea clavenae L.";"1100"
"Abies alba Mill.";"100"
"Abies nordmanniana (Steven) Spach";"130"
"Abutilon theophrasti Medik.";"150"
"Acacia dealbata Link";"160"
"Acalypha australis L.";"180"
"Acalypha virginica L.";"200"
"Acanthus mollis L.";"250"
"Acer campestre L.";"300"
"Acer monspessulanum L.";"400"
"Acer negundo L.";"500"
"Acer opalus Mill.";"600"
"Acer platanoides L.";"700"
"Acer pseudoplatanus L.";"800"
"Acer saccharinum L.";"850"
"Aceras anthropophorum (L.) W. T. Aiton";"900"
"Achillea ageratum L.";"950"
"Achillea crithmifolia Waldst. & Kit.";"1250"
"Achillea erba-rotta All.";"1350"
"Achillea filipendulina Lam.";"1550"
"Achillea macrophylla L.";"1600"
"Achillea millefolium aggr.";"1706"
"Achillea nana L.";"1900"
"Achillea nobilis L.";"2000"
"Agrimonia eupatoria L.";"7400"
"Achillea oxyloba (DC.) Sch. Bip.";"2100"
"Achillea ptarmica L.";"2200"
"Achillea tomentosa L.";"2600"
"Achnatherum calamagrostis (L.) P. Beauv.";"2700"
"Acinos alpinus (L.) Moench";"2800"
"Acinos arvensis (Lam.) Dandy";"2900"
"Aconitum anthora L.";"3100"
"Aconitum lycoctonum L.";"3510"
"Aconitum napellus L.";"3540"
"Aconitum variegatum L.";"4390"
"Acorus calamus L.";"5100"
"Actaea spicata L.";"5200"
"Actinidia chinensis Planch.";"5250"
"Adenophora liliifolia (L.) A. DC.";"5300"
"Adenostyles alliariae (Gouan) A. Kern.";"5400"
"Adenostyles alpina (L.) Bluff & Fingerh.";"5450"
"Adenostyles leucophylla (Willd.) Rchb.";"5600"
"Adiantum capillus-veneris L.";"5700"
"Adonis aestivalis L.";"5800"
"Adonis annua L.";"5900"
"Adonis flammea Jacq.";"6100"
"Adonis vernalis L.";"6200"
"Adoxa moschatellina L.";"6300"
"Aegilops cylindrica Host";"6400"
"Aegilops geniculata aggr.";"6440"
"Aegilops triuncialis L.";"6600"
"Aegilops ventricosa Tausch";"6700"
"Aegopodium podagraria L.";"6800"
"Aesculus hippocastanum L.";"6900"
"Aethionema saxatile (L.) R. Br.";"7000"
"Aethionema thomasianum J. Gay";"7100"
"Aethusa cynapioides M. Bieb.";"7150"
"Aethusa cynapium L.";"7200"
"Agave americana L.";"7300"
"Agrimonia procera Wallr.";"7600"
"Agropyron cristatum (L.) Gaertn.";"7720"
"Agrostemma githago L.";"8200"
"Agrostis alpina Scop.";"8400"
"Agrostis canina L.";"8500"
"Agrostis capillaris L.";"8600"
"Agrostis gigantea Roth";"8700"
"Agrostis rupestris All.";"8900"
"Agrostis schleicheri Jord. & Verl.";"9000"
"Agrostis schraderiana Bech.";"9100"
"Agrostis stolonifera L.";"9300"
"Agrostis vinealis Schreb.";"9450"
"Ailanthus altissima (Mill.) Swingle";"9500"
"Aira caryophyllea L.";"9700"
"Aira elegantissima Schur";"9900"
"Aira praecox L.";"10000"
"Ajuga chamaepitys (L.) Schreb.";"10100"
"Ajuga genevensis L.";"10200"
"Ajuga pyramidalis L.";"10300"
"Ajuga reptans L.";"10400"
"Akebia quinata (Houtt.) Decne.";"10450"
"Albizia julibrissin Durazz.";"10470"
"Alcea biennis Winterl";"10490"
"Alcea rosea L.";"10500"
"Alchemilla alpina aggr.";"11200"
"Alchemilla conjuncta aggr.";"12000"
"Alchemilla coriacea aggr.";"12500"
"Alchemilla decumbens aggr.";"13100"
"Alchemilla demissa aggr.";"13300"
"Alchemilla fissa aggr.";"14000"
"Alchemilla glabra aggr.";"15000"
"Alchemilla grossidens aggr.";"15400"
"Alchemilla helvetica aggr.";"15600"
"Alchemilla heteropoda aggr.";"15800"
"Alchemilla hybrida aggr.";"16000"
"Alchemilla mollis (Buser) Rothm.";"17200"
"Anagallis tenella (L.) L.";"30100"
"Alchemilla pentaphyllea L.";"18100"
"Alchemilla pentaphylloides aggr.";"18150"
"Alchemilla plicatula aggr.";"18500"
"Alchemilla speciosa Buser";"19700"
"Alchemilla splendens aggr.";"19900"
"Alchemilla subsericea aggr.";"20400"
"Alchemilla vulgaris aggr.";"21100"
"Aldrovanda vesiculosa L.";"21600"
"Alisma gramineum Lej.";"21700"
"Alisma lanceolatum With.";"21800"
"Alisma plantago-aquatica L.";"21900"
"Alliaria petiolata (M. Bieb.) Cavara & Grande";"22100"
"Allium ampeloprasum L.";"22150"
"Allium angulosum L.";"22200"
"Allium carinatum L.";"22350"
"Allium cepa L.";"22600"
"Allium ericetorum Thore";"22700"
"Allium fistulosum L.";"22800"
"Allium insubricum Boiss. & Reut.";"22900"
"Allium lineare L.";"23000"
"Allium lusitanicum Lam.";"23100"
"Allium narcissiflorum Vill.";"23300"
"Allium nigrum L.";"23400"
"Allium oleraceum L.";"23600"
"Allium paradoxum (M. Bieb.) G. Don";"23750"
"Allium porrum L.";"23800"
"Allium rotundum L.";"24000"
"Allium sativum L.";"24100"
