"name";"id_in_source"
"(unbekannte Gattung) (Breitblättrige Fingerwurz x Traunsteiners F.)";"1001176"
"(unbekannte Gattung) (Breitblättrige Ständelwurz x Violette S.)";"1001171"
"(unbekannte Gattung) (Fleischrote Fingerwurz x Breitblättrige F.)";"1001174"
"(unbekannte Gattung) (Fleischrote Fingerwurz x Traunsteiners F.)";"1001175"
"(unbekannte Gattung) (Fuchs-Fingerwurz x Breitblättrige F.)";"1001179"
"(unbekannte Gattung) (Fuchs-Fingerwurz x Fleischrote F.)";"1001178"
"(unbekannte Gattung) (Fuchs-Fingerwurz x Mücken-Handwurz)";"1001177"
"(unbekannte Gattung) (Fuchs-Fingerwurz x Traunsteiners F.)";"1001180"
"(unbekannte Gattung) (Helm-Knabenkraut x Purpur-K.)";"1001181"
"(unbekannte Gattung) (Kleine Spinnen-Ragwurz x Fliegen-R.)";"1001182"
"(unbekannte Gattung) (Mücken-Handwurz x Wohlriechende H.)";"1001173"
"(unbekannte Gattung) (Zweiblättrige Waldhyazinthe x Grünliche W.)";"1001172"
"(unbekannte Gattung) Echinochloa sp.";"1003911"
"Abies alba Mill. (Edel-Tanne, Weiss-Tanne)";"100"
"Abutilon theophrasti Medik.";"150"
"Acacia dealbata Link";"160"
"Acalypha virginica L. (Dreisamiges Bingelkraut, Virginisches Nesselblatt)";"200"
"Acanthus mollis";"1001218"
"Acer campestre L. (Feld-Ahorn, Massholder)";"300"
"Acer monspessulanum L. (Französicher Massholder)";"400"
"Acer negundo L. (Eschen-Ahorn)";"500"
"Acer opalus Mill. (Schneeballblättriger Ahorn)";"600"
"Acer platanoides L. (Spitz-Ahorn)";"700"
"Acer pseudoplatanus L. (Berg-Ahorn)";"800"
"Acer saccharinum";"1001219"
"Acer sp.";"1003904"
"Acer tataricum";"1001220"
"Aceras anthropophorum (L.) W. T. Aiton (Ohnsporn)";"900"
"Achillea ageratum";"1001221"
"Achillea ambigua";"1001226"
"Achillea aspleniifolia";"1001228"
"Achillea atrata aggr.";"1001222"
"Achillea atrata L. (Schwarzrandige Schafgarbe)";"1000"
"Achillea clavenae L. (Clavenas Schafgarbe)";"1100"
"Achillea clusiana";"1001223"
"Achillea collina Rchb. (Hügel-Schafgarbe)";"1200"
"Achillea crithmifolia";"1001224"
"Achillea distans Willd. (Rainfarn-Schafgarbe)";"1300"
"Achillea erba-rotta aggr.";"1001225"
"Achillea erba-rotta All. s.l.";"1350"
"Achillea erba-rotta All. s.str. (Westalpen-Schafgarbe)";"1400"
"Achillea erba-rotta All. subsp. moschata (Wulfen) Vacc. (Ivapflanze, Moschus-Schafgarbe)";"1500"
"Achillea filipendulina";"1001227"
"Achillea ligustica";"1001235"
"Achillea macrophylla L. (Grossblättrige Schafgarbe)";"1600"
"Achillea millefolium aggr.";"1705"
"Achillea millefolium L. s.l.";"1700"
"Achillea millefolium L. s.str. (Gemeine Schafgarbe)";"1701"
"Achillea millefolium L. subsp. sudetica (Opiz) J. Weiss";"1702"
"Achillea moschata Wulfen";"1800"
"Achillea nana L. (Zwerg-Schafgarbe)";"1900"
"Achillea neilreichii";"1001236"
"Achillea nobilis aggr.";"1001234"
"Achillea nobilis L. (Edle Schafgarbe)";"2000"
"Achillea odorata";"1001237"
"Achillea oxyloba (DC.) Sch. Bip. (Spitzzipflige Schafgarbe)";"2100"
"Achillea pannonica";"1001229"
"Achillea pratensis";"1001230"
"Achillea ptarmica L. (Sumpf-Schafgarbe)";"2200"
"Achillea raxensis";"1001231"
"Achillea roseoalba Ehrend. (Hellrosafarbene Schafgarbe)";"2300"
"Achillea setacea Waldst. & Kit. (Borstenblättrige Schafgarbe)";"2400"
"Achillea stricta Gremli (Straffe Schafgarbe)";"2500"
"Achillea styriaca";"1001232"
"Achillea sudetica";"1001233"
"Achillea tomentosa L. (Gelbe Schafgarbe)";"2600"
"Achillea virescens";"1001238"
"Achnatherum calamagrostis (L.) P. Beauv. (Rauhgras)";"2700"
"Acinos alpinus (L.) Moench (Alpen-Steinquendel)";"2800"
"Acinos arvensis (Lam.) Dandy (Steinquendel)";"2900"
"Aconitum altissimum Mill. (Wolfs-Eisenhut)";"3000"
"Aconitum angustifolium";"1001240"
"Aconitum anthora L. (Blassgelber Eisenhut)";"3100"
"Aconitum bauhinii (Rchb.) Gáyer";"3200"
"Aconitum burnatii";"1001241"
"Aconitum compactum (Rchb.) Gáyer (Dichtblütiger Eisenhut)";"3300"
"Aconitum hians";"1001242"
"Aconitum lamarckii Rchb. (Hahnenfussblättriger Eisenhut)";"3400"
"Aconitum lobelianum (Rchb.) Host";"3500"
"Aconitum napellus aggr. auct. helv.";"3600"
"Aconitum napellus aggr. sensu K. Lauber & G. Wagner";"3650"
"Aconitum napellus auct.";"3700"
"Aconitum nasutum";"1001244"
"Aconitum neomontanum Wulfen (Blauer Eisenhut, Echter Eisenhut)";"3800"
"Aconitum paniculatum auct.";"3900"
"Aconitum pauciflorum";"1001239"
"Aconitum penninum (Ser.) Gáyer";"4000"
